number,content,option_a,option_b,option_c,option_d,correct
1,"By the end of the term, I _____ all eight volumes.",will be reading,read,have read,will have read,D
2,She says she won’t phone us until she _____ the information.,has,is having,will have,had,A
3,"When we _____ out, the chest cavity _____ smaller.",breathe – became,breathe – becomes,will breathe – will become,will breathe – becomes,B
4,Our local grocer said he _____ the groceries as soon as he _____ my order.,had sent – had received,will have sent – has received,has sent – receives,sent – had received,A
5,He _____ the mayor of the town for seven years until his death last year.,would have been,has been,had been,will have been,C
6,My father asked me if I _____ an increase in salary the following month.,am getting,was getting,am going to get,will get,B
7,"As we _____ tired of waiting, we _____ to go without them.",are – are deciding,were – have decided,are – decided,were – decided,D
8,That cat _____ you if you pull its tail.,scratches,has scratched,will scratch,is going to scratch,C
9,I see you have a saw in your hands. _____ you _____ the dry tree branches?,Will ... cut off,Are ... going to cut off,Do – cut off,Will ... be cutting off,B
10,I _____ coal into the stove. That’s why my hands are all dirty.,had put,was putting,had been putting,have been putting,D
11,The committee _____ a report when it _____ all the available information.,will submit – has collected,submits – collected,will submit – will collect,will submit – collected,A
12,The patient _____ after he _____ ill for a long time.,died – has been,dies – had been,died – had been,will die – will be,C
13,"By the time the security guards _____ what _____, the gang _____ already inside the bank.",had realized – was happening – were,will have realized – will be happening – were,had realized – happened – are,have realized – happened – were,A
14,"Although he _____ to listen to the teacher, he _____ of the football match all the time.",has pretended – thought,pretended – was thinking,pretended – has thought,pretends – was thinking,B
15,He _____ so much money that he _____ what to do with it.,earned – hadn’t known,earns – didn’t know,earns – doesn’t know,has earned – didn’t know,C
16,"“You’ve just missed the last bus.” – “Never mind, I _____.”",will walk,will be walking,walk,am walking,A
17,Ben and Claire _____ to pay us a visit as soon as they _____ in their new apartment.,promise – settled,have been promising – were settling,promised – are settling,have promised – have settled,D
18,"Ford _____ his friends, some of whom earn more money than he does.",won’t envy,didn’t envy,doesn’t envy,hasn’t envied,C
19,They _____ it unless they _____ there is no other way.,aren’t doing – will be thinking,don’t do – will think,haven’t done – thought,won’t do – think,D
20,"In spite of the fact that he _____ his cousin, he _____ drinking.",warned – doesn’t stop,warned – didn’t stop,warned – hadn’t stopped,has warned – didn’t stop,B
21,She _____ French since she _____ to Illinois.,had studied – came,has studied – has come,has been studying – came,studied – came,C
22,Henry was packing the suitcases while his wife _____ the room.,was tidying,tidies,has been tidying,had tidied,A
23,"Christine _____ as a nurse for seven years, then she became a teacher.",has worked,has been working,was working,worked,D
24,"Although she lives in Tokyo, she _____ the Royal Palace.",didn’t visit,has never visited,is not visiting,hadn’t visited,B
25,"Before we knew what was happening, the roof _____.",has fallen in,will fall in,had fallen in,had been falling in,C
26,"While they _____ to Wyoming, their car ran out of gas.",drove,had been driving,have driven,were driving,D
27,Alice looked much slimmer because she _____ for a few months.,had been dieting,has been dieting,was dieting,diets,A
28,"When she’s done the ironing, she _____ the length of the dress for me.",is altering,altered,will alter,has altered,C
29,"You are too slow. I’m sure that by the time you phone them, they _____ that car to someone else.",will sell,will have sold,are going to sell,are selling,B
30,"As soon as they _____ my last book, I _____ you a copy with my autograph.",will print – will send,had printed – will send,printed – will be sending,print – will send,D
31,"Because the children _____ forward to seeing Harry Potter for so long, I took them even though it was really inconvenient for me.",had been looking,were looking,have been looking,looked,A
32,When we _____ at the airport we _____ that we _____ our passports at the office.,arrived – had noticed – had left,arrived – noticed – had left,have arrived – noticed – left,had arrived – have noticed – have left,B
33,"Generally he _____ to work by car, but today he _____ by bus because his car is in the garage.",went – went,was going – is going,goes – is going,has been going – goes,C
34,He _____ for over three hours when he finished the report.,will have typed,was typing,has been typing,had been typing,D
35,Three days ago her boyfriend _____ her and she _____ continually ever since.,left – is crying,had left – cried,left – has been crying,had left – was crying,C
36,This is the first customer we _____ something today.,have sold,sold,had sold,were selling,A
37,Andrew _____ the plants in the garden right now but I _____ sure that it will rain this afternoon.,is watering – was,is watering – am,waters – am,watered – was,B
38,She should have informed the police as soon as she _____ that her purse was missing.,discovers,would discover,had discovered,has discovered,C
